ID,SegmentID,Roadway Name,From,To,Direction,Date,Veh Class Type,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Heavy Truck,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,School Bus,0,0,0,0,0,2,7,11,4,1,0,2,0,2,12,16,5,0,0,0,,,,
1,152030,34 Avenue,113 Street,114 Street,EB,10/30/2014,Other Bus,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,2,1,0,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Auto,,,,,,,,178,215,146,171,194,183,152,228,193,148,134,112,136,112,111,63,45
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Taxis,,,,,,,,61,110,116,117,120,85,63,99,95,78,86,56,75,54,64,44,49
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Commercial,,,,,,,,44,55,73,44,54,36,31,41,44,37,28,10,14,5,8,3,5
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Medium Truck,,,,,,,,15,29,27,26,11,8,14,22,17,13,9,3,4,5,3,1,2
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Heavy Truck,,,,,,,,5,8,6,10,4,0,2,7,2,2,1,2,0,3,3,2,4
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,School Bus,,,,,,,,12,5,1,1,1,0,1,3,4,2,1,3,0,0,0,0,0
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/29/2014,Other Bus,,,,,,,,8,12,6,7,7,8,5,10,8,4,10,3,5,4,4,6,5
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Auto,60,29,25,22,25,67,191,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Taxis,31,33,27,27,26,23,56,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Commercial,6,4,3,3,11,4,26,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Medium Truck,4,3,3,4,3,11,13,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Heavy Truck,5,4,2,3,3,7,6,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,School Bus,0,0,0,0,0,2,14,,,,,,,,,,,,,,,,,
15,17319,86 Street,11 Avenue,12 Avenue,WB,09/19/2014,Auto,121,74,47,37,74,156,372,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,SB,10/30/2014,Other Bus,4,3,1,2,1,1,5,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Auto,,,,,,,,177,212,117,114,140,151,99,199,273,255,301,268,237,184,143,97,81
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Taxis,,,,,,,,47,105,112,69,81,75,54,85,65,83,78,79,74,63,48,33,35
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Commercial,,,,,,,,14,39,24,25,46,35,24,58,58,44,33,29,34,17,11,4,4
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Medium Truck,,,,,,,,7,16,17,31,27,23,18,17,31,14,8,14,2,2,0,0,0
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Heavy Truck,,,,,,,,3,8,8,5,7,9,7,4,5,4,0,1,0,2,3,4,2
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,School Bus,,,,,,,,15,13,6,0,0,1,3,13,13,6,3,0,0,0,0,0,0
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/29/2014,Other Bus,,,,,,,,8,6,8,6,6,6,5,4,6,6,10,7,5,7,5,7,2
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Auto,70,30,31,24,46,64,99,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Taxis,36,15,13,15,33,44,46,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Commercial,11,4,2,4,7,15,14,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Medium Truck,1,2,2,1,3,0,10,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Heavy Truck,7,3,2,12,2,4,8,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,School Bus,0,0,0,0,0,1,5,,,,,,,,,,,,,,,,,
2,111224,Amsterdam Avenue,West 167 Street,West 168 Street,NB,10/30/2014,Other Bus,1,0,0,1,2,4,7,,,,,,,,,,,,,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Auto,,,,,,,,,,,,,,,,,,,,58,44,25,27,10
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Taxis,,,,,,,,,,,,,,,,,,,,0,0,1,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Commercial,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,1,0,1,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,School Bus,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/12/2014,Other Bus,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Auto,3,6,1,3,5,8,13,56,79,57,56,62,64,63,68,47,63,46,37,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Taxis,0,0,0,0,0,2,0,0,2,1,2,2,1,3,0,2,1,0,3,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Commercial,0,0,0,0,0,0,0,0,3,1,0,2,2,0,1,4,1,1,1,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Medium Truck,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Heavy Truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,School Bus,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,,,,,
3,141787,Clearview Expressway SR,38 Avenue,39 Avenue,NB,11/13/2014,Other Bus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Auto,,,,,,,,,,,,,,,,,,,,94,65,60,35,19
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Taxis,,,,,,,,,,,,,,,,,,,,1,1,1,0,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Commercial,,,,,,,,,,,,,,,,,,,,4,1,3,1,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,0,2,0,0,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,School Bus,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/12/2014,Other Bus,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Auto,7,6,3,2,8,19,35,259,212,115,129,135,129,146,150,163,137,167,151,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Taxis,0,0,0,0,0,0,0,2,0,1,1,2,1,6,3,7,3,5,4,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Commercial,1,1,1,0,2,2,0,8,14,7,10,8,6,9,10,10,8,6,10,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Medium Truck,0,0,0,0,0,0,0,1,2,2,1,5,0,0,1,2,2,1,2,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Heavy Truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,School Bus,0,0,0,0,0,1,0,4,4,0,0,1,2,0,2,2,0,0,0,,,,,
3,97825,Clearview Expressway SR,38 Avenue,39 Avenue,SB,11/13/2014,Other Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Auto,,,,,,,,,,,,,,,,,,,,1520,1163,989,618,404
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Taxis,,,,,,,,,,,,,,,,,,,,8,4,2,7,3
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Commercial,,,,,,,,,,,,,,,,,,,,48,23,13,19,12
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,45,34,25,16,18
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,86,114,131,138,95
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,School Bus,,,,,,,,,,,,,,,,,,,,3,0,1,0,0
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/12/2014,Other Bus,,,,,,,,,,,,,,,,,,,,1,4,3,2,0
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Auto,205,133,86,82,191,795,2776,3500,2484,1594,1342,1336,1220,1377,1651,1749,1620,1752,1642,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Taxis,1,1,2,3,2,0,10,13,10,5,12,9,4,8,7,16,10,3,0,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Commercial,6,2,1,14,29,94,216,205,192,94,137,83,99,91,94,110,106,66,31,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Medium Truck,17,25,30,45,75,144,229,176,186,172,152,169,188,176,223,186,122,95,74,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Heavy Truck,93,74,97,136,174,243,213,232,261,322,373,363,338,306,193,197,156,101,97,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,School Bus,0,0,0,0,0,3,25,43,33,14,12,15,10,25,26,28,13,6,5,,,,,
3,153064,Clearview Expressway,38 Avenue,39 Avenue,NB,11/13/2014,Other Bus,0,1,0,0,0,1,1,5,13,12,6,8,4,6,9,19,6,6,5,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Auto,,,,,,,,,,,,,,,,,,,,2137,1423,1061,800,289
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Taxis,,,,,,,,,,,,,,,,,,,,16,7,4,2,0
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Commercial,,,,,,,,,,,,,,,,,,,,55,58,20,20,12
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Medium Truck,,,,,,,,,,,,,,,,,,,,46,72,51,52,92
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Heavy Truck,,,,,,,,,,,,,,,,,,,,72,104,68,46,38
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,School Bus,,,,,,,,,,,,,,,,,,,,0,0,2,0,0
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/12/2014,Other Bus,,,,,,,,,,,,,,,,,,,,12,10,10,3,0
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Auto,306,162,96,83,131,299,951,2327,2608,1457,1332,1332,1351,1652,2033,3525,3398,3503,3952,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Taxis,2,0,3,0,0,2,15,13,11,3,12,11,7,7,20,26,9,9,8,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Commercial,5,8,5,8,7,29,112,159,151,118,119,116,132,146,219,292,196,183,123,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Medium Truck,40,52,31,46,87,161,229,188,178,237,228,182,190,188,206,158,148,98,72,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Heavy Truck,94,87,118,133,178,286,348,231,222,239,284,228,175,215,179,113,123,80,85,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,School Bus,0,0,0,0,0,8,28,22,58,16,12,13,9,19,33,44,25,16,14,,,,,
3,157354,Clearview Expressway,38 Avenue,39 Avenue,SB,11/13/2014,Other Bus,3,1,0,1,0,1,5,3,8,11,5,11,4,7,18,16,12,12,11,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Auto,,,,,,,,,1069,750,635,650,648,719,916,990,1043,996,988,755,573,456,404,308
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Taxis,,,,,,,,,83,60,70,69,58,76,71,53,60,62,35,24,20,22,14,14
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Commercial,,,,,,,,,128,114,81,65,75,99,114,105,88,63,48,42,21,16,10,10
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Medium Truck,,,,,,,,,27,24,19,18,14,34,26,8,3,4,1,5,2,2,6,5
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Heavy Truck,,,,,,,,,4,9,6,4,3,3,4,5,0,0,0,4,2,0,1,0
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,School Bus,,,,,,,,,29,8,3,7,6,17,28,33,17,14,3,0,0,0,0,0
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/28/2014,Other Bus,,,,,,,,,7,5,2,7,6,9,10,16,13,7,6,8,6,8,4,4
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Auto,206,98,68,88,177,336,783,1241,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Taxis,16,11,9,8,20,12,32,33,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Commercial,10,7,1,4,12,12,58,84,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Medium Truck,1,1,3,5,7,16,55,47,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Heavy Truck,1,1,1,1,3,5,10,11,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,School Bus,0,0,0,0,0,12,51,35,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,10/29/2014,Other Bus,3,3,1,1,4,4,8,19,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Auto,,,,,,,,,861,560,531,541,578,618,748,882,1165,1228,1095,860,681,641,507,562
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Taxis,,,,,,,,,17,27,19,16,20,24,31,19,17,18,29,21,20,29,23,20
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Commercial,,,,,,,,,73,83,97,66,74,78,79,76,125,99,69,33,20,25,17,11
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Medium Truck,,,,,,,,,26,28,35,46,42,42,44,38,32,16,22,8,9,5,10,9
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Heavy Truck,,,,,,,,,7,4,3,2,4,0,2,2,2,0,1,1,1,1,1,0
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,School Bus,,,,,,,,,33,13,4,3,0,1,11,35,41,7,3,0,0,0,0,0
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/28/2014,Other Bus,,,,,,,,,9,6,4,4,5,8,9,7,13,5,5,5,5,6,5,4
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Auto,329,151,110,98,131,246,538,920,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Taxis,32,22,18,13,19,15,16,26,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Commercial,5,6,7,6,7,11,23,51,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Medium Truck,6,2,3,2,11,7,12,20,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Heavy Truck,0,0,0,0,0,1,5,5,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,School Bus,0,0,0,0,1,8,21,33,,,,,,,,,,,,,,,,
4,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,10/29/2014,Other Bus,4,2,0,0,1,7,11,22,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Auto,,,,,,,,319,293,196,217,234,248,259,311,323,350,316,349,350,252,225,173,128
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Taxis,,,,,,,,89,129,120,132,100,106,105,128,124,118,111,115,104,77,88,72,79
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Commercial,,,,,,,,35,44,55,54,52,64,74,59,85,75,66,37,30,24,10,10,6
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Medium Truck,,,,,,,,17,24,38,44,38,37,31,29,42,24,19,16,12,9,4,5,5
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Heavy Truck,,,,,,,,5,8,4,3,5,4,2,1,4,0,2,2,0,0,0,3,2
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,School Bus,,,,,,,,18,15,4,0,3,9,3,5,18,14,6,2,1,0,0,0,0
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/29/2014,Other Bus,,,,,,,,17,18,15,11,13,9,13,5,13,12,12,8,7,7,7,3,3
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Auto,84,77,47,34,51,92,177,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Taxis,60,44,37,41,47,51,76,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Commercial,1,2,7,4,9,17,17,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Medium Truck,0,4,1,4,0,5,19,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Heavy Truck,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,School Bus,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,EB,10/30/2014,Other Bus,4,1,0,0,2,7,11,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Auto,,,,,,,,379,382,308,271,245,284,276,316,337,341,338,363,340,299,288,230,149
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Taxis,,,,,,,,98,106,98,64,76,81,79,79,90,84,100,108,50,48,23,34,28
61,142554,Henry Hudson Parkway,73 Street,74 Street,SB,11/11/2014,School Bus,,,,,,,,,,,,,,,,,,,,2,0,0,0,0
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Commercial,,,,,,,,51,98,99,52,63,74,50,54,33,42,20,27,14,9,10,10,6
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Medium Truck,,,,,,,,33,45,37,35,29,24,24,19,18,18,7,8,3,2,4,1,0
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Heavy Truck,,,,,,,,0,5,2,1,2,0,2,0,0,1,1,0,1,1,2,0,1
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,School Bus,,,,,,,,19,5,5,4,2,1,8,16,11,5,0,2,0,0,1,0,0
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/29/2014,Other Bus,,,,,,,,16,17,11,10,12,8,13,14,15,15,10,8,8,9,7,4,4
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/30/2014,Auto,120,66,60,45,67,110,236,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/30/2014,Taxis,26,29,15,16,15,25,36,,,,,,,,,,,,,,,,,
5,106931,West 155 Street,Edgecombe Avenue,St. Nicholas Avenue,WB,10/30/2014,Commercial,4,3,4,7,12,30,37,,,,,,,,,,,,,,,,,
